DEPT	CODE_COAL	Lay	AC	GR	CILD	DEN	CLL8	RT	AT10	AT20	AT30	AT60	AT90
2225.3	7	CT	247.600	55.532	187.132	2.403	92.663	5.344	10.792	9.046	7.725	5.822	5.344
2225.4	7	CT	246.776	56.403	184.512	2.400	92.983	5.421	10.755	9.114	7.826	5.906	5.421
2225.5	7	CT	245.509	56.284	181.201	2.398	93.119	5.520	10.739	9.217	7.962	6.015	5.520
2225.6	7	CT	243.813	55.559	177.062	2.399	92.875	5.649	10.767	9.369	8.141	6.156	5.649
2225.7	7	CT	241.662	55.823	172.367	2.405	92.100	5.803	10.858	9.571	8.362	6.327	5.803
2225.8	7	CT	239.203	57.465	167.596	2.415	90.864	5.969	11.007	9.804	8.605	6.511	5.969
2225.9	7	CT	236.579	59.446	162.964	2.431	89.161	6.139	11.219	10.062	8.859	6.699	6.139
2226.0	7	CT	233.944	61.133	158.682	2.448	87.057	6.303	11.490	10.335	9.111	6.883	6.303
2226.1	7	CT	231.490	62.855	155.041	2.465	84.766	6.450	11.800	10.603	9.344	7.049	6.450
2230.1	6	CT	242.681	61.563	150.590	2.437	86.767	6.641	11.526	10.823	9.539	7.245	6.641
2230.2	6	CT	241.653	56.854	148.544	2.443	85.511	6.733	11.695	10.935	9.660	7.346	6.733
2230.3	6	CT	240.205	53.373	147.570	2.448	84.878	6.777	11.782	10.972	9.714	7.395	6.777
2230.4	6	CT	238.741	52.427	147.394	2.454	84.879	6.784	11.781	10.951	9.718	7.405	6.784
2230.5	6	CT	237.554	53.993	147.614	2.459	85.372	6.774	11.714	10.902	9.698	7.395	6.774
2230.6	6	CT	236.833	56.577	147.658	2.465	86.047	6.772	11.622	10.867	9.692	7.394	6.772
2230.7	6	CT	236.740	57.902	146.779	2.470	86.388	6.814	11.575	10.907	9.751	7.441	6.814
2230.8	6	CT	237.068	57.846	145.008	2.473	86.093	6.897	11.615	11.026	9.873	7.535	6.897
2230.9	6	CT	237.559	57.268	142.722	2.475	85.189	7.008	11.740	11.198	10.036	7.659	7.008
2231.0	6	CT	237.982	57.106	140.207	2.476	83.782	7.134	11.938	11.404	10.222	7.798	7.134
2231.1	6	CT	238.106	58.313	137.602	2.477	81.981	7.268	12.200	11.632	10.422	7.948	7.268
2231.2	6	CT	237.492	59.841	134.597	2.479	79.799	7.431	12.535	11.909	10.664	8.129	7.431
2231.3	6	CT	236.187	61.129	131.312	2.484	77.510	7.618	12.908	12.222	10.942	8.338	7.618
2231.4	6	CT	234.581	61.530	128.186	2.495	75.373	7.803	13.273	12.528	11.217	8.544	7.803
2231.5	6	CT	233.131	60.615	125.852	2.509	73.662	7.946	13.577	12.761	11.433	8.704	7.946
2231.6	6	CT	232.290	58.469	125.103	2.524	72.700	7.993	13.755	12.839	11.510	8.760	7.993
2231.7	6	CT	232.719	56.110	126.785	2.537	72.859	7.888	13.726	12.683	11.372	8.649	7.888
2231.8	6	CT	234.162	53.666	130.398	2.545	73.941	7.673	13.527	12.365	11.078	8.417	7.673
2231.9	6	CT	236.043	51.017	135.475	2.545	75.764	7.389	13.205	11.952	10.686	8.111	7.389
2232.0	6	CT	237.855	48.435	141.609	2.536	78.126	7.069	12.806	11.499	10.246	7.765	7.069
2232.1	6	CT	239.203	46.644	148.272	2.522	80.719	6.748	12.392	11.056	9.807	7.417	6.748
2232.2	6	CT	239.700	45.880	154.437	2.504	82.908	6.479	12.064	10.702	9.444	7.126	6.479
2232.3	6	CT	239.616	47.290	158.799	2.485	84.033	6.299	11.901	10.496	9.213	6.933	6.299
2232.4	6	CT	239.336	50.568	160.999	2.468	83.987	6.211	11.907	10.439	9.117	6.842	6.211
2232.5	6	CT	239.150	54.181	161.173	2.454	82.930	6.205	12.060	10.514	9.142	6.838	6.205
2232.6	6	CT	239.267	55.790	159.729	2.441	81.160	6.260	12.323	10.693	9.261	6.905	6.260
2232.7	6	CT	239.872	54.261	157.655	2.430	79.342	6.343	12.606	10.912	9.421	7.001	6.343
2232.8	6	CT	240.759	50.920	155.950	2.420	77.978	6.412	12.826	11.102	9.561	7.082	6.412
2232.9	6	CT	241.697	47.425	154.849	2.413	77.152	6.458	12.962	11.246	9.666	7.137	6.458
2233.0	6	CT	242.536	44.700	154.262	2.407	76.795	6.482	13.022	11.346	9.739	7.168	6.482
2233.1	6	CT	243.190	42.799	153.975	2.401	76.767	6.494	13.026	11.416	9.792	7.186	6.494
2233.2	6	CT	243.655	41.414	153.685	2.397	76.849	6.507	13.013	11.476	9.843	7.204	6.507
2233.3	6	CT	244.005	41.092	153.279	2.394	76.906	6.524	13.003	11.534	9.899	7.228	6.524
2233.4	6	CT	244.190	41.476	152.707	2.391	76.884	6.548	13.007	11.597	9.963	7.260	6.548
2233.5	6	CT	244.087	42.028	151.980	2.389	76.785	6.580	13.023	11.665	10.035	7.299	6.580
2233.6	6	CT	243.536	42.515	151.198	2.388	76.667	6.613	13.044	11.731	10.109	7.341	6.613
2233.7	6	CT	242.289	43.779	150.811	2.387	76.822	6.631	13.017	11.762	10.152	7.365	6.631
2233.8	6	CT	240.710	45.571	151.188	2.388	77.537	6.614	12.898	11.728	10.139	7.350	6.614
2233.9	6	CT	239.284	47.013	152.123	2.391	78.768	6.574	12.698	11.644	10.085	7.308	6.574
2234.0	6	CT	238.392	47.674	153.188	2.396	80.312	6.528	12.454	11.543	10.018	7.259	6.528
2234.1	6	CT	238.296	47.798	153.878	2.401	81.890	6.499	12.213	11.463	9.972	7.228	6.499
2234.2	6	CT	239.045	46.900	153.526	2.408	83.048	6.514	12.042	11.451	9.988	7.246	6.514
2234.3	6	CT	239.844	44.842	152.637	2.416	83.862	6.552	11.925	11.473	10.034	7.288	6.552
2234.4	6	CT	240.131	42.878	151.605	2.424	84.464	6.596	11.840	11.501	10.087	7.337	6.596
2234.5	6	CT	239.681	42.546	150.552	2.432	84.892	6.642	11.780	11.528	10.137	7.386	6.642
2234.6	6	CT	238.526	45.198	149.460	2.440	85.137	6.691	11.746	11.556	10.188	7.436	6.691
2234.7	6	CT	237.264	51.158	148.435	2.447	85.307	6.737	11.722	11.577	10.232	7.484	6.737
2234.8	6	CT	236.834	57.107	147.939	2.453	85.715	6.759	11.667	11.555	10.238	7.505	6.759
2234.9	6	CT	237.504	61.003	148.450	2.455	86.637	6.737	11.544	11.458	10.176	7.475	6.737
2235.0	6	CT	239.145	62.076	150.132	2.456	88.138	6.662	11.348	11.277	10.036	7.388	6.662
2235.1	6	CT	241.414	60.254	152.755	2.456	90.049	6.547	11.107	11.036	9.839	7.256	6.547
2235.2	6	CT	243.406	58.069	155.592	2.455	91.841	6.427	10.889	10.802	9.641	7.121	6.427
2235.3	6	CT	244.210	55.847	157.575	2.454	92.905	6.346	10.764	10.645	9.504	7.029	6.346
2235.4	6	CT	243.676	53.573	158.382	2.454	93.126	6.314	10.738	10.583	9.446	6.990	6.314
2235.5	6	CT	242.012	51.562	158.100	2.453	92.630	6.325	10.796	10.605	9.457	7.001	6.325
2235.6	6	CT	239.613	50.244	157.034	2.452	91.652	6.368	10.911	10.691	9.519	7.048	6.368
2235.7	6	CT	237.411	50.429	156.045	2.450	90.702	6.409	11.026	10.787	9.584	7.093	6.409
2235.8	6	CT	236.349	51.379	155.655	2.448	90.035	6.425	11.107	10.851	9.616	7.111	6.425
2235.9	6	CT	236.595	52.314	155.827	2.444	89.601	6.417	11.161	10.883	9.614	7.104	6.417
2236.0	6	CT	237.965	52.458	156.309	2.441	89.258	6.398	11.204	10.896	9.594	7.084	6.398
2236.1	6	CT	240.115	50.824	156.725	2.439	88.828	6.381	11.257	10.913	9.578	7.066	6.381
2236.2	6	CT	242.365	48.435	156.574	2.436	88.163	6.387	11.343	10.959	9.593	7.074	6.387
2236.3	6	CT	243.987	46.879	155.772	2.435	87.322	6.420	11.452	11.034	9.645	7.111	6.420
2236.4	6	CT	244.747	46.397	154.435	2.434	86.443	6.476	11.569	11.129	9.727	7.173	6.476
2236.5	6	CT	244.600	46.264	152.847	2.433	85.717	6.543	11.666	11.221	9.822	7.247	6.543
2236.6	6	CT	243.563	45.043	151.497	2.433	85.394	6.601	11.710	11.279	9.898	7.310	6.601
2236.7	6	CT	241.617	44.193	151.160	2.433	85.864	6.616	11.646	11.249	9.906	7.325	6.616
2236.8	6	CT	239.277	44.987	151.709	2.434	86.810	6.592	11.520	11.152	9.854	7.296	6.592
2236.9	6	CT	237.069	47.087	152.535	2.436	87.669	6.556	11.407	11.043	9.785	7.255	6.556
2237.0	6	CT	235.419	49.855	153.076	2.440	87.964	6.533	11.368	10.967	9.736	7.227	6.533
2237.1	6	CT	234.666	52.789	152.920	2.445	87.338	6.539	11.450	10.957	9.734	7.232	6.539
2237.2	6	CT	235.138	55.456	151.719	2.452	85.396	6.591	11.714	11.046	9.806	7.288	6.591
2237.3	6	CT	236.152	57.307	150.004	2.459	82.798	6.667	12.085	11.191	9.918	7.370	6.667
2237.4	6	CT	236.981	58.413	148.175	2.467	80.041	6.749	12.502	11.361	10.045	7.461	6.749
