No.	Well	Dep  Dist		Code	AC 	CNL 	DEN 	GR 	PE 	RLLD
1359	79-06	3488.200	0.800	6	166.7400	-0.8130	2.9780	6.4190	5.0920	41733.5350
1360	77-05	3486.500	0.821	6	167.9100	1.7650	2.8610	8.5010	5.1090	39694.8200
1361	57-09	3393.100	0.847	6	140.2080	10.0310	2.9040	22.4190	4.4140	560.0660
1362	79-06	3495.500	0.856	6	159.3960	-0.1090	2.9730	8.8780	4.0060	40954.5310
1363	63-03	3533.300	0.891	6	172.1890	-3.4640	2.8890	13.4510	4.3580	42173.9140
1364	63-03	3533.400	0.919	6	172.6310	-3.1300	2.8850	11.7090	4.3070	42272.5470
1365	79-06	3488.100	0.949	6	167.1790	-0.8400	2.9840	6.7140	5.2050	41695.0550
1366	79-06	3487.900	0.987	6	167.2100	-0.8370	2.9850	6.7630	5.2360	41686.6370
1367	79-06	3487.800	1.016	6	166.7010	-0.7590	2.9850	7.1930	5.2780	41227.9730
1368	77-05	3486.600	1.042	6	166.6940	2.9360	2.8350	15.1970	5.0370	31845.6950
1369	55-010	3408.700	1.103	6	175.7980	13.9250	2.9180	46.5130	4.4690	60.9820
1370	62-04	3379.600	1.181	6	147.8000	12.6890	2.8860	49.1520	5.0100	262.8390
1371	63-03	3532.700	1.204	6	177.6890	-3.2130	2.8870	75.8340	4.3530	3979.8840
1372	79-06	3482.500	1.304	6	186.4650	8.4750	2.8580	68.1630	4.7880	208.8820
1373	66-1	3426.300	1.341	6	172.0960	13.1000	2.9550	61.5350	5.0680	32.1720
1374	Z97	3377.100	1.455	6	158.1600	10.0210	2.9000	53.7560	5.5780	47.5810
1375	41-44C3	3298.200	1.487	6	163.2490	13.1610	2.8580	53.2850	5.1160	122.3550
1376	41-44C3	3298.000	1.492	6	165.3960	14.1420	2.8670	56.3790	5.0520	126.9130
1377	66-1	3426.100	1.656	6	173.1930	10.7490	2.9070	98.0120	4.8780	26.3250
1378	66-1	3426.400	1.885	6	175.3280	14.7360	2.9870	56.8680	5.1810	33.9800
1379	55-010	3405.300	1.951	6	169.7250	16.3270	2.8870	78.2870	4.3650	78.2640
1380	66-1	3426.600	2.010	6	176.9260	15.1800	2.9870	58.0690	5.1900	31.9080
1381	55-010	3408.600	2.210	6	186.2310	16.6290	2.9310	70.1400	4.2890	25.9930
1382	66-1	3426.000	2.497	6	178.2680	11.4330	2.9100	123.5740	4.8090	29.3640
1383	62-02	3425.200	2.564	6	187.0190	12.6660	2.9590	98.7840	4.8550	3.8620
1384	Z44	3401.600	2.685	6	157.0060	20.0510	2.8810	17.5420	4.9570	16.2210
1385	49-25	3358.300	2.763	6	165.8760	22.6780	2.9310	36.0240	4.2530	258.1250
1386	Z44	3401.400	2.916	6	156.7100	20.3410	2.8740	18.2500	5.0630	13.4000
1387	49-35	3228.800	3.009	6	182.7890	21.3830	2.9150	70.9320	4.3420	86.3780
1388	Z97	3377.000	3.126	6	161.4580	14.4270	2.9930	89.2490	5.7120	18.7110
1389	46-4	3406.400	3.279	6	173.2580	19.2060	2.9110	110.2000	4.4370	31.5400
1390	Z44	3401.500	3.386	6	155.9090	20.8630	2.8560	20.4260	5.1800	10.5990
1391	41-44C3	3297.700	3.448	6	178.2620	19.5350	2.9050	114.5390	4.7390	68.7950
