No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
151,66-1,3505.1,0.191,0,162.826,0.138,2.718,14.766,4.979,42099.461
152,66-1,3504.9,0.193,0,162.966,0.12,2.72,14.949,5.005,42006.391
153,70-3,3520.1,0.19399999999999998,0,163.898,1.302,2.724,9.014,4.844,2345.73
154,43-21,3407.1,0.196,0,160.222,1.747,2.655,13.625,5.022,2296.292
155,70-010,3607.8,0.198,0,158.668,-0.092,2.72,22.255,5.085,41544.676
156,46-35,3328.8,0.201,0,153.059,0.994,2.719,9.251,4.74,41407.121
157,47-10,3355.1,0.203,0,155.906,0.531,2.686,12.381,4.655,40219.344
158,61-05,3459.6,0.205,0,157.913,-0.147,2.752,13.172,5.016,42906.363
159,48-36,3308.8,0.20800000000000002,0,153.594,0.918,2.737,13.046,5.534,3803.365
160,66-1,3507.1,0.21100000000000002,0,160.922,0.29,2.654,15.383,4.97,42387.316
161,46-27C1,3430.3,0.214,0,151.905,0.549,2.719,9.945,4.722,40000.0
162,63-03,3449.6,0.218,0,158.315,-1.608,2.718,15.432,4.836,29263.615
163,48-36,3308.4,0.223,0,154.219,0.596,2.744,13.127,5.595,4305.186
164,48-46,3231.1,0.22699999999999998,0,166.683,3.398,2.682,12.172,5.346,4163.984
165,46-4,3439.5,0.23199999999999998,0,155.801,1.501,2.74,14.494,4.796,1835.281
166,65-07,3458.1,0.237,0,160.436,0.99,2.666,14.431,4.637,2191.299
167,62-04,3463.0,0.242,0,157.465,0.438,2.727,12.595,5.133,55796.898
168,44-45,3284.1,0.248,0,158.717,1.634,2.691,10.237,5.353,2013.699
169,68-2,3637.5,0.253,0,159.663,4.928,2.715,12.156,4.944,29236.805
170,57-012,3580.9,0.258,0,159.512,-1.142,2.704,15.868,5.174,42176.789
171,57-012,3580.7,0.263,0,160.161,-1.275,2.704,18.179,5.12,41762.141
172,62-09C2,3485.6,0.26899999999999996,0,157.273,2.667,2.743,18.751,5.109,1694.247
173,62-02,3473.2,0.275,0,162.203,0.802,2.708,14.034,4.929,1530.208
174,Z54,3324.4,0.282,0,156.503,3.46,2.7,17.414,4.715,51590.09
175,Z28,3317.3,0.289,0,156.208,0.831,2.694,9.004,4.909,1471.681
176,Z97,3508.1,0.29600000000000004,0,159.054,1.212,2.719,18.846,5.094,72452.219
177,63-03,3447.6,0.304,0,157.799,-2.014,2.74,11.823,4.889,37684.75
178,57-012,3578.1,0.313,0,157.215,-1.589,2.687,12.828,5.236,42833.711
179,Z44,3460.3,0.322,0,161.1,5.059,2.714,16.12,4.797,37021.926
180,46-4,3444.2,0.332,0,154.895,1.567,2.701,11.09,5.143,1277.26
181,42-12,3353.8,0.34299999999999997,0,156.926,4.334,2.754,23.337,4.809,2041.196
182,44-45,3286.2,0.35600000000000004,0,160.193,1.748,2.695,10.642,5.292,1274.063
183,74-01,3513.7,0.37,0,175.887,2.97,2.775,16.208,4.906,20956.91
184,46-6C1,3414.0,0.381,0,161.273,0.069,2.689,10.94,5.083,1167.834
185,62-04,3459.9,0.395,0,154.975,0.496,2.703,21.696,4.754,87728.547
186,49-13,3350.2,0.41200000000000003,0,177.661,2.614,2.671,24.559,5.221,16421.104
187,62-04,3461.3,0.425,0,155.853,0.704,2.7,14.397,5.078,106379.086
188,41-44C3,3385.7,0.439,0,161.192,3.453,2.74,18.217,4.861,1069.978
189,71-2,3571.5,0.46399999999999997,0,163.909,3.485,2.684,16.2,5.037,1043.988
190,43-46,3363.0,0.494,0,162.429,1.857,2.723,11.7,4.971,774.582
191,45-34,3431.3,0.512,0,158.092,2.418,2.712,14.8,4.857,734.609
192,46-6C1,3392.7,0.54,0,156.233,2.595,2.701,12.385,4.782,720.202
193,Z18,3305.4,0.5770000000000001,0,156.872,3.311,2.698,14.516,4.817,693.819
194,48-36,3317.1,0.625,0,153.541,1.766,2.779,18.353,4.872,629.849
195,45-34,3447.2,0.7020000000000001,0,158.76,6.883,2.717,18.519,4.716,1447.049
196,Z18,3311.3,0.777,0,157.347,3.47,2.72,17.852,4.877,434.274
