No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
642,57-012,3569.4,0.08199999999999999,3,153.093,2.687,2.842,16.678,3.249,961.08
643,46-4,3496.4,0.083,3,148.143,4.659,2.838,24.03,3.244,728.793
644,62-0,3469.1,0.085,3,152.246,8.376,2.861,8.503,3.201,636.353
645,60-09,3610.3,0.086,3,152.992,7.32,2.84,21.34,2.886,371.688
646,70-3,3498.7,0.087,3,149.185,4.425,2.841,23.184,3.224,2419.625
647,42-12,3343.5,0.08800000000000001,3,154.67,5.409,2.864,14.506,3.076,522.228
648,42-12,3343.4,0.08900000000000001,3,155.067,5.088,2.848,13.096,3.213,452.171
649,49-13,3402.1,0.09,3,152.722,6.864,2.823,15.289,3.117,1086.675
650,46-4,3502.9,0.091,3,144.587,4.913,2.856,13.29,3.167,1946.599
651,51-8,3475.8,0.09300000000000001,3,151.572,5.772,2.835,12.937,3.198,466.717
652,51-8,3467.4,0.094,3,155.052,6.429,2.855,19.421,3.351,840.926
653,80-012,3456.0,0.096,3,148.396,4.332,2.853,12.899,3.321,1489.546
654,44-7,3455.5,0.098,3,151.034,4.927,2.837,23.665,2.787,463.92
655,42-12,3414.0,0.1,3,146.974,6.267,2.86,10.46,3.263,1793.353
656,46-20,3563.2,0.10099999999999999,3,146.855,9.013,2.84,17.643,2.886,3204.784
657,53-09,3600.4,0.10300000000000001,3,158.158,7.402,2.858,24.597,3.305,1077.39
658,48-32,3371.2,0.10400000000000001,3,157.337,5.644,2.829,10.988,3.0,525.94
659,63-03,3534.7,0.106,3,151.996,1.378,2.863,19.551,2.944,1093.561
660,Z44,3426.6,0.10800000000000001,3,147.697,10.171,2.826,18.741,3.048,1617.506
661,44-36,3419.1,0.11,3,156.135,8.03,2.853,17.057,2.709,483.77
662,79-06,3469.4,0.11199999999999999,3,159.081,3.468,2.837,11.629,3.235,1441.449
663,63-03,3511.8,0.113,3,152.089,2.478,2.843,16.651,3.136,3171.963
664,80-012,3439.5,0.114,3,147.839,6.231,2.873,20.654,2.914,1034.832
665,63-010,3407.3,0.11599999999999999,3,155.78,6.857,2.863,19.25,3.247,520.427
666,48-36,3286.7,0.11699999999999999,3,150.363,5.992,2.847,18.506,3.248,350.007
667,49-43,3420.8,0.11900000000000001,3,149.14,4.545,2.869,15.815,2.982,2465.757
668,70-06,3508.6,0.12,3,146.751,7.236,2.872,18.299,3.143,1218.731
669,63-010,3404.0,0.121,3,147.922,6.544,2.873,12.93,3.136,1051.351
670,61-05,3450.8,0.12300000000000001,3,149.812,4.953,2.858,13.364,3.362,1916.545
671,46-4,3497.5,0.125,3,144.89,4.514,2.83,15.606,3.18,2030.202
672,Z97,3556.4,0.126,3,146.935,3.863,2.854,22.368,3.091,3676.478
673,Z54,3306.8,0.127,3,150.286,9.349,2.822,22.592,2.964,2092.657
674,46-20,3542.6,0.13,3,149.006,7.854,2.863,21.014,2.829,3451.105
675,46-4,3503.0,0.131,3,144.239,4.403,2.853,13.944,3.161,3115.548
676,65-07,3450.6,0.133,3,162.445,6.568,2.83,17.96,2.821,921.045
677,42-12,3409.9,0.134,3,146.336,5.415,2.857,20.814,3.149,3815.941
678,46-4,3485.5,0.136,3,152.169,7.1,2.851,24.794,3.124,261.446
679,Z44,3427.5,0.13699999999999998,3,149.03,10.837,2.83,22.199,2.885,2804.874
680,46-20,3497.4,0.141,3,149.846,7.56,2.848,18.88,3.17,262.357
681,46-35,3306.4,0.142,3,153.2,5.023,2.871,10.722,2.874,497.771
682,70-06,3525.7,0.145,3,155.477,7.633,2.835,20.216,2.59,1938.146
683,46-27C2,3455.3,0.14800000000000002,3,150.279,5.077,2.866,16.451,3.345,1983.279
684,44-36,3398.4,0.151,3,157.654,5.56,2.839,15.645,2.829,294.944
685,44-45,3234.8,0.153,3,159.696,9.415,2.834,24.66,3.043,370.218
686,63-03,3511.4,0.155,3,149.482,2.766,2.86,19.105,3.025,4095.629
687,46-27,3357.7,0.157,3,154.613,6.835,2.818,21.597,2.919,549.854
688,44-7,3496.4,0.159,3,151.089,4.222,2.831,15.424,2.84,313.237
689,55-010,3502.1,0.162,3,147.194,3.054,2.83,21.353,2.886,3398.501
690,42-12,3393.9,0.16399999999999998,3,148.769,3.388,2.866,21.016,3.092,3638.401
691,46-20,3520.6,0.16699999999999998,3,148.576,9.466,2.861,19.516,2.564,1368.981
692,49-43,3419.1,0.16899999999999998,3,159.69,8.17,2.843,16.31,3.207,298.742
693,48-5,3337.3,0.171,3,161.214,9.258,2.836,22.433,3.081,341.609
694,49-13,3389.5,0.17300000000000001,3,153.962,5.885,2.835,24.64,2.721,300.84
695,44-3,3405.7,0.17600000000000002,3,154.138,7.87,2.868,23.521,2.986,286.261
696,Z97,3480.1,0.179,3,152.71,6.104,2.818,16.446,3.087,419.819
697,42-12,3405.1,0.182,3,146.415,4.206,2.836,14.552,3.138,4912.485
698,44-3,3405.4,0.18600000000000003,3,156.035,7.951,2.836,24.888,3.172,240.596
699,53-09,3688.7,0.187,3,152.029,7.676,2.849,15.72,2.89,188.34
700,49-43,3417.2,0.19,3,154.205,7.03,2.811,13.106,2.971,1373.244
701,46-20,3431.7,0.192,3,148.689,8.886,2.855,17.021,2.828,220.036
702,42-12,3402.7,0.195,3,144.839,4.078,2.863,15.204,2.751,3541.98
703,49-13,3339.4,0.198,3,155.389,6.043,2.818,16.843,3.0,366.333
704,49-43,3388.0,0.201,3,154.592,8.048,2.816,17.692,3.067,418.284
705,46-20,3454.1,0.204,3,152.531,8.907,2.837,17.283,2.706,245.941
706,48-5,3337.5,0.20800000000000002,3,162.01,9.364,2.834,23.479,3.098,305.601
707,Z97,3577.3,0.21100000000000002,3,149.977,6.752,2.821,21.825,2.76,348.56
708,63-03,3535.0,0.214,3,151.369,1.135,2.875,24.754,3.193,1376.84
709,70-06,3527.6,0.21600000000000003,3,160.851,9.655,2.819,21.495,3.079,531.179
710,46-20,3542.7,0.22,3,146.454,7.957,2.868,17.447,2.815,4843.254
711,Z54,3298.0,0.222,3,155.555,8.327,2.81,23.232,3.01,691.426
712,80-012,3450.3,0.226,3,156.016,8.199,2.859,18.73,2.749,214.079
713,44-36,3419.4,0.228,3,155.654,7.513,2.82,13.522,2.943,272.235
714,53-09,3593.3,0.231,3,156.197,7.407,2.851,22.854,3.324,216.669
715,46-20,3564.3,0.23399999999999999,3,148.819,9.898,2.877,15.744,2.653,1600.064
716,55-010,3532.4,0.23600000000000002,3,147.208,3.57,2.81,20.703,2.929,1202.817
717,68-02,3532.9,0.239,3,157.41,4.807,2.82,20.639,2.802,328.734
718,49-13,3411.1,0.24100000000000002,3,149.988,5.55,2.866,19.834,3.111,6898.724
719,Z44,3427.2,0.245,3,149.005,10.946,2.814,22.669,3.031,2810.761
720,49-13,3362.9,0.249,3,153.007,2.254,2.831,14.389,3.123,6164.984
721,65-07,3421.9,0.25,3,155.656,5.555,2.876,16.21,2.649,455.832
722,Z97,3576.9,0.255,3,151.66,7.364,2.814,14.057,3.052,299.924
723,46-20,3559.6,0.257,3,150.072,7.971,2.827,22.471,2.783,6530.601
724,42-12,3326.5,0.261,3,152.874,5.646,2.867,23.285,3.427,318.51
725,70-06,3498.8,0.265,3,157.218,11.435,2.845,17.802,3.2,190.828
726,70-04,3554.2,0.267,3,159.253,10.463,2.829,19.366,3.103,216.631
727,44-7,3455.9,0.271,3,153.853,6.146,2.84,22.937,2.745,153.729
728,46-20,3551.5,0.273,3,148.641,9.672,2.884,12.743,2.706,1152.747
729,49-43,3419.4,0.27699999999999997,3,162.074,10.566,2.833,18.713,3.127,228.311
730,47-44,3543.7,0.281,3,154.952,12.71,2.829,18.278,3.114,226.899
731,46-20,3559.3,0.28300000000000003,3,146.955,6.572,2.823,18.331,3.016,7221.027
732,46-20,3555.5,0.287,3,144.746,7.926,2.826,16.058,3.005,7280.425
733,74-01,3473.4,0.292,3,153.537,7.172,2.892,23.696,2.989,991.482
734,44-7,3455.7,0.29600000000000004,3,150.725,5.951,2.861,23.868,2.527,246.683
735,46-20,3557.7,0.301,3,146.488,5.314,2.843,22.704,3.141,10108.969
736,79-06,3449.8,0.307,3,148.983,5.907,2.884,14.797,2.842,4139.365
737,49-43,3421.4,0.313,3,149.628,4.071,2.857,17.532,3.118,10588.828
738,70-06,3523.4,0.318,3,151.063,8.282,2.893,13.577,2.881,1505.5
739,44-36,3403.0,0.32299999999999995,3,156.621,7.177,2.811,16.803,3.037,249.853
740,49-43,3419.5,0.32799999999999996,3,164.208,10.429,2.838,19.643,3.131,186.853
741,46-20,3545.4,0.332,3,151.064,6.844,2.886,23.079,2.563,1005.032
742,46-20,3557.6,0.335,3,144.841,5.754,2.863,21.123,3.03,10176.998
743,46-20,3505.5,0.341,3,152.469,10.584,2.837,12.511,2.904,115.813
744,65-07,3467.2,0.345,3,150.374,2.333,2.832,11.647,3.197,9283.369
745,68-02,3536.9,0.353,3,157.881,5.093,2.805,16.776,2.988,352.326
746,65-07,3497.8,0.359,3,148.675,5.647,2.882,18.262,2.459,990.589
747,65-07,3467.1,0.365,3,150.736,2.779,2.844,12.36,2.972,13007.607
748,44-7,3461.8,0.371,3,143.264,3.327,2.888,19.191,2.928,3017.251
749,Z44,3439.8,0.379,3,154.408,13.43,2.821,21.731,2.472,691.549
750,42-12,3415.3,0.38799999999999996,3,144.906,4.483,2.877,15.484,3.025,8270.805
751,79-06,3450.3,0.395,3,146.24,4.923,2.872,12.072,3.088,10540.059
752,46-20,3504.4,0.405,3,148.415,9.647,2.819,14.8,2.704,157.073
753,55-010,3411.3,0.413,3,154.44,7.37,2.877,8.651,3.456,219.585
754,48-5,3309.0,0.42,3,153.536,7.537,2.793,18.389,2.896,1006.455
755,47-44,3543.4,0.425,3,166.097,14.529,2.835,18.326,3.039,232.13
756,46-20,3528.9,0.43200000000000005,3,146.439,8.315,2.896,18.268,2.931,387.347
757,49-43,3421.3,0.44,3,149.414,3.811,2.881,16.914,2.96,9764.991
758,46-27C2,3455.8,0.447,3,149.436,4.838,2.894,23.989,3.114,4763.823
759,46-20,3504.7,0.46299999999999997,3,150.399,9.432,2.809,12.156,2.768,162.954
760,55-010,3426.9,0.47,3,155.152,5.81,2.808,12.702,2.985,137.519
761,74-01,3461.4,0.47600000000000003,3,163.73,9.077,2.877,24.837,2.858,145.8
762,46-20,3556.3,0.48700000000000004,3,144.166,7.824,2.882,14.203,2.518,5407.547
763,46-20,3519.1,0.496,3,146.732,8.065,2.903,18.63,2.982,535.432
764,49-13,3387.1,0.51,3,157.408,6.811,2.801,22.891,2.876,183.751
765,42-12,3420.6,0.521,3,143.363,3.248,2.837,11.731,3.164,17630.887
766,49-13,3387.0,0.5329999999999999,3,157.424,7.258,2.802,21.098,2.839,158.76
767,44-7,3460.4,0.544,3,150.728,6.883,2.807,19.874,2.733,121.044
768,51-8,3412.5,0.557,3,167.212,11.252,2.833,21.317,3.058,97.602
769,46-20,3575.7,0.5670000000000001,3,145.338,8.709,2.844,16.584,3.078,25464.213
770,46-20,3573.5,0.584,3,156.248,8.889,2.86,16.039,3.048,26516.92
771,42-12,3417.9,0.5920000000000001,3,144.805,4.684,2.857,12.847,3.332,21228.568
772,51-8,3412.4,0.598,3,168.435,10.866,2.839,23.866,3.003,83.948
773,46-20,3521.9,0.607,3,144.152,7.314,2.9,20.832,3.314,4718.548
774,46-20,3457.4,0.62,3,152.262,10.862,2.812,12.344,2.825,79.168
775,42-12,3417.4,0.63,3,145.184,4.713,2.852,13.95,3.184,28495.637
776,46-20,3521.6,0.6459999999999999,3,145.513,7.21,2.901,16.261,2.994,7989.731
777,46-20,3576.1,0.662,3,146.862,8.795,2.861,17.231,2.628,25561.559
778,63-010,3448.4,0.6759999999999999,3,158.71,8.67,2.805,19.792,2.681,97.413
779,74-01,3459.7,0.684,3,166.802,11.983,2.807,23.303,2.963,133.258
780,70-04,3506.8,0.705,3,166.114,10.283,2.882,12.622,3.482,144.384
781,70-06,3535.6,0.722,3,151.188,4.688,2.854,14.426,3.029,41564.734
782,42-12,3417.2,0.735,3,145.207,4.596,2.85,13.418,3.099,39568.699
783,63-010,3413.2,0.768,3,163.262,11.359,2.81,13.267,3.008,65.876
784,80-012,3480.3,0.784,3,150.144,2.4,2.896,14.122,3.225,15339.583
785,44-7,3459.2,0.7909999999999999,3,152.268,6.023,2.796,18.33,2.798,76.284
786,46-20,3572.5,0.81,3,147.181,8.595,2.887,16.014,2.8,26514.219
787,63-010,3448.1,0.828,3,160.243,9.933,2.793,11.777,2.754,104.257
788,46-20,3566.6,0.85,3,144.39,7.708,2.898,18.111,2.757,17641.094
789,46-20,3569.3,0.87,3,144.273,7.642,2.89,16.632,2.726,25342.352
790,46-20,3568.9,0.909,3,144.821,7.586,2.89,15.127,2.64,26217.506
791,46-20,3553.3,0.948,3,143.193,8.233,2.892,18.833,2.555,22859.604
792,46-20,3567.8,0.9740000000000001,3,145.198,8.028,2.895,16.181,2.572,24102.723
793,46-20,3568.6,1.014,3,143.759,8.108,2.9,13.972,2.686,24278.953
794,46-20,3567.1,1.067,3,145.175,7.685,2.902,14.805,2.688,27342.277
795,68-02,3609.5,1.1340000000000001,3,157.334,5.618,2.765,13.182,2.716,264.454
796,46-20,3569.9,1.205,3,145.31,8.208,2.908,15.707,2.668,29945.875
797,46-20,3571.3,1.335,3,144.271,7.441,2.916,16.751,2.702,29117.898
798,79-06,3486.7,1.436,3,150.478,3.262,2.937,21.772,3.529,4313.183
799,55-010,3444.6,1.765,3,162.545,10.408,2.751,11.61,2.541,141.396
800,79-06,3485.3,1.932,3,156.645,3.127,2.947,22.957,3.774,5033.239
801,72-09,3492.1,0.002,4,154.683,7.383,2.785,15.871,3.412,463.809
802,60-09,3535.5,0.016,4,150.627,6.903,2.782,13.48,3.433,861.567
803,Z18,3354.0,0.021,4,148.982,6.498,2.788,15.624,3.326,668.75
804,Z97,3578.2,0.025,4,153.226,7.412,2.782,24.049,3.378,317.584
805,70-04,3549.3,0.027999999999999997,4,153.573,7.661,2.799,18.207,3.316,787.491
806,49-25,3376.4,0.032,4,150.641,7.448,2.781,15.763,3.253,910.592
807,44-36,3417.4,0.034,4,156.442,7.743,2.771,13.431,3.466,908.534
808,54-3,3461.0,0.037000000000000005,4,162.367,7.716,2.802,22.391,3.423,650.488
809,61-05,3437.0,0.04,4,159.359,8.126,2.77,18.496,3.464,334.433
810,56-04C3,3685.5,0.043,4,151.185,7.276,2.77,20.378,3.477,334.047
811,56-04C3,3645.2,0.046,4,147.997,7.063,2.794,21.82,3.579,643.917
812,Z18,3350.9,0.048,4,151.258,5.824,2.776,23.1,3.368,348.673
813,72-09,3491.0,0.05,4,155.433,8.014,2.766,12.61,3.404,482.763
814,48-32,3370.7,0.052000000000000005,4,162.155,6.395,2.784,11.912,3.223,299.689
815,62-02,3444.4,0.054000000000000006,4,160.35,5.247,2.793,12.008,3.474,976.464
816,55-010,3551.1,0.057,4,148.979,5.101,2.791,21.193,3.42,393.08
817,48-27,3291.6,0.059000000000000004,4,147.28,7.124,2.77,24.6,3.379,878.961
818,70-06,3575.7,0.06,4,155.974,7.557,2.801,21.129,3.366,1995.594
819,63-03,3498.9,0.063,4,168.137,7.574,2.778,19.356,3.331,158.755
820,46-10,3370.2,0.064,4,164.404,8.498,2.775,22.283,3.537,240.647
821,49-25,3420.2,0.066,4,156.991,8.978,2.774,22.86,3.581,582.19
822,46-27,3363.8,0.068,4,156.493,8.82,2.789,22.552,3.615,281.825
823,49-35,3339.0,0.07,4,150.488,5.663,2.795,23.999,3.399,1608.491
824,46-35,3385.4,0.07200000000000001,4,152.279,6.993,2.81,11.172,3.452,543.015
825,46-4,3506.9,0.073,4,152.253,4.701,2.792,13.109,3.338,337.698
826,71-2,3511.4,0.075,4,145.451,7.998,2.805,11.011,3.333,804.187
827,64-05,3524.5,0.077,4,154.695,7.977,2.77,19.144,3.29,156.698
828,70-04,3569.6,0.078,4,157.142,7.927,2.796,16.77,3.113,660.477
829,68-2,3594.7,0.08,4,161.124,10.223,2.791,13.663,3.482,374.82
830,71-2,3512.1,0.08199999999999999,4,152.573,8.093,2.781,11.78,3.121,790.526
831,46-27,3361.3,0.083,4,156.389,8.634,2.765,20.893,3.456,211.423
832,Z28,3308.0,0.084,4,152.214,7.393,2.771,15.524,3.332,2855.762
833,71-2,3537.8,0.086,4,157.337,9.677,2.781,12.899,3.347,162.72
834,53-09,3683.6,0.08800000000000001,4,165.291,8.865,2.784,10.286,3.243,182.327
835,70-010,3553.3,0.08900000000000001,4,156.6,7.747,2.808,22.939,3.604,384.796
836,55-010,3535.1,0.091,4,151.457,4.895,2.798,15.692,3.248,315.587
837,44-36,3419.8,0.092,4,159.251,8.03,2.798,13.788,3.15,210.664
838,55-010,3514.1,0.094,4,148.259,5.196,2.807,21.038,3.442,503.959
839,44-3,3410.4,0.096,4,154.478,7.449,2.816,14.893,3.392,365.13
840,Z97,3479.4,0.09699999999999999,4,156.809,6.192,2.787,15.69,3.079,340.009
841,46-10,3385.5,0.099,4,153.251,6.256,2.787,19.098,3.652,2457.924
842,44-7,3440.6,0.1,4,148.299,5.023,2.801,23.432,3.494,275.212
843,48-32,3385.0,0.102,4,151.939,5.465,2.804,22.444,3.517,1695.282
844,44-7,3440.7,0.10400000000000001,4,149.241,4.693,2.794,20.037,3.263,227.326
845,Z18,3341.8,0.105,4,154.574,8.203,2.784,22.564,3.178,121.318
846,57-012,3556.1,0.107,4,163.401,8.987,2.778,20.913,3.692,271.905
847,70-010,3577.0,0.10800000000000001,4,162.097,5.617,2.792,18.881,3.49,3825.92
848,49-43,3388.2,0.11,4,155.539,7.716,2.805,16.397,3.117,297.536
849,49-25,3465.0,0.11199999999999999,4,156.737,5.077,2.793,18.832,3.7,335.597
850,44-7,3441.8,0.113,4,152.553,4.926,2.8,21.17,3.246,198.862
851,70-06,3572.5,0.115,4,157.738,6.573,2.804,22.008,3.656,1847.308
852,60-1,3400.6,0.11699999999999999,4,152.871,6.814,2.816,24.6,3.374,1073.814
853,47-38C4,3408.5,0.11900000000000001,4,156.034,4.884,2.777,14.009,3.682,1079.962
854,62-02,3446.8,0.12,4,161.466,5.942,2.818,14.835,3.439,716.097
855,43-35,3406.3,0.122,4,156.075,10.267,2.786,14.94,3.207,200.493
856,43-23,3427.0,0.124,4,153.813,5.688,2.758,11.839,3.364,245.342
857,66-1,3468.6,0.125,4,154.706,4.302,2.776,22.768,3.608,1058.376
858,43-35,3420.4,0.127,4,157.65,9.014,2.818,19.274,3.452,442.67
859,64-05,3548.9,0.129,4,146.307,5.991,2.772,12.54,3.613,2443.655
860,42-12,3349.1,0.13,4,154.481,5.175,2.759,14.768,3.527,285.125
861,48-5,3379.6,0.132,4,158.223,4.245,2.769,19.082,3.293,217.635
862,44-20,3403.9,0.133,4,155.497,3.975,2.783,13.819,3.614,1264.758
863,46-27C1,3401.7,0.135,4,155.007,7.265,2.758,11.22,3.542,158.411
864,49-13,3333.1,0.13699999999999998,4,156.674,8.715,2.796,19.259,3.147,3123.019
865,44-7,3437.1,0.138,4,161.129,4.004,2.776,25.0,3.456,192.899
866,47-44,3509.6,0.14,4,153.719,5.368,2.818,15.061,3.506,483.43
867,49-43,3417.8,0.141,4,148.34,6.211,2.787,16.655,3.166,3945.06
868,46-35,3358.9,0.14300000000000002,4,151.12,6.087,2.812,9.3,3.62,277.42
869,Z97,3416.2,0.145,4,152.208,9.986,2.809,19.312,3.283,208.527
870,80-012,3427.6,0.147,4,158.411,6.773,2.818,17.878,3.298,158.135
871,49-43,3285.2,0.149,4,159.245,7.047,2.795,23.237,3.007,290.987
872,60-09,3471.7,0.151,4,163.696,10.878,2.77,15.106,3.376,213.305
873,64-01,3426.7,0.152,4,158.575,8.354,2.798,15.141,3.827,601.874
874,48-30,3388.0,0.154,4,155.346,6.622,2.751,10.614,3.372,237.592
875,46-27,3301.5,0.156,4,154.222,10.761,2.795,16.384,3.169,267.173
876,57-04,3555.6,0.158,4,152.369,8.268,2.821,19.337,3.253,1037.182
877,Z22,3379.2,0.16,4,159.702,7.851,2.823,14.752,3.271,333.517
878,44-36,3398.1,0.162,4,159.101,6.633,2.792,16.046,3.004,166.347
879,49-43,3284.9,0.163,4,157.139,7.528,2.79,22.236,2.966,306.927
880,49-25,3400.1,0.16399999999999998,4,153.588,11.554,2.798,18.276,3.326,352.322
881,70-06,3559.0,0.16699999999999998,4,149.819,7.809,2.814,16.716,3.245,3144.513
882,49-25,3374.3,0.168,4,157.424,10.815,2.759,17.659,3.451,677.951
883,48-36,3247.7,0.17,4,165.485,9.369,2.766,24.307,3.151,189.606
884,70-010,3579.0,0.172,4,156.747,8.591,2.825,22.113,3.366,757.702
885,43-23,3442.4,0.174,4,151.598,6.673,2.774,13.713,3.443,8343.532
886,57-012,3552.4,0.17600000000000002,4,152.847,5.172,2.82,18.318,3.57,949.753
887,48-32,3389.7,0.17800000000000002,4,153.608,5.181,2.821,10.068,3.489,823.563
888,46-35,3344.9,0.179,4,149.586,4.229,2.778,12.459,3.656,2373.845
889,42-12,3382.0,0.18100000000000002,4,154.868,4.025,2.815,23.598,3.393,871.507
890,63-03,3507.0,0.183,4,158.142,4.889,2.817,24.171,3.209,665.581
891,62-0,3463.9,0.185,4,166.904,8.811,2.764,8.896,3.349,74.009
892,56-04C1,3607.3,0.188,4,148.143,6.879,2.824,13.314,3.515,1564.603
893,49-35,3347.6,0.19,4,152.188,9.625,2.804,24.093,3.077,224.16
894,46-27C3,3507.0,0.192,4,158.346,7.698,2.747,20.768,3.296,184.627
895,46-27C3,3446.5,0.19399999999999998,4,160.04,10.819,2.777,18.569,3.106,207.299
896,63-03,3484.4,0.196,4,159.396,6.013,2.826,18.825,3.236,422.82
897,46-20,3470.6,0.198,4,158.26,8.436,2.802,11.485,3.248,44.539
898,46-35,3295.7,0.201,4,167.637,8.52,2.786,15.693,2.95,1465.947
899,57-09,3444.9,0.203,4,154.6,9.19,2.803,13.239,3.848,670.631
900,57-04,3610.4,0.205,4,159.921,9.044,2.824,21.947,3.199,562.655
901,47-10,3325.9,0.207,4,150.779,5.781,2.826,24.625,3.408,1208.288
902,46-30,3370.8,0.21,4,159.99,5.845,2.743,17.38,3.371,303.715
903,43-23,3442.3,0.212,4,150.28,5.547,2.771,13.663,3.46,8808.551
904,55-010,3514.9,0.214,4,152.905,4.62,2.797,22.487,3.004,248.501
905,49-25,3399.0,0.217,4,160.3,11.784,2.783,15.955,3.348,107.57
906,57-04,3555.3,0.21899999999999997,4,149.659,8.376,2.826,16.897,3.222,1487.607
907,49-43,3331.0,0.221,4,155.682,10.493,2.795,22.029,2.993,639.821
908,47-44,3503.3,0.22399999999999998,4,152.263,7.151,2.829,24.195,3.45,1682.514
909,47-44,3507.1,0.22699999999999998,4,159.377,6.184,2.744,13.777,3.205,306.114
910,Z97,3526.2,0.23,4,155.3,2.996,2.782,19.535,3.704,1525.447
911,53-09,3674.2,0.23199999999999998,4,151.209,5.103,2.82,11.12,3.654,1646.413
912,68-2,3623.1,0.235,4,150.987,9.0,2.823,14.093,3.643,1944.408
913,47-44,3547.5,0.237,4,160.333,8.393,2.831,16.17,3.417,180.74
914,49-35,3283.9,0.24,4,150.815,3.512,2.786,16.729,3.504,6181.452
915,60-1,3425.3,0.242,4,163.77,4.303,2.788,12.958,3.872,350.591
916,49-43,3377.5,0.24600000000000002,4,154.536,10.26,2.818,18.247,3.132,212.251
917,48-32,3411.9,0.249,4,151.687,3.563,2.804,12.124,3.693,2306.607
918,46-27C1,3415.7,0.253,4,144.712,4.014,2.805,15.716,3.396,5876.952
919,41-44C3,3324.2,0.256,4,158.987,8.721,2.738,15.24,3.293,742.329
920,51-8,3411.7,0.259,4,163.382,10.309,2.8,15.595,3.013,123.688
921,S233,3436.6,0.262,4,160.493,9.05,2.754,18.758,2.988,377.511
922,49-35,3249.4,0.265,4,164.87,10.498,2.755,24.935,3.119,341.761
923,64-01,3478.3,0.26899999999999996,4,153.046,4.492,2.803,19.805,3.689,6240.741
924,Z22,3427.8,0.272,4,158.911,4.415,2.805,8.979,3.537,7936.156
925,Z97,3568.2,0.275,4,148.734,4.592,2.826,21.588,3.367,2503.805
926,61-05,3396.1,0.27899999999999997,4,159.529,5.918,2.832,12.378,3.659,878.906
927,68-2,3557.1,0.28300000000000003,4,154.555,6.676,2.836,12.628,3.602,599.252
928,71-2,3568.2,0.28600000000000003,4,154.138,4.109,2.76,18.118,3.488,7381.369
929,70-06,3559.3,0.29,4,156.239,4.984,2.817,21.286,3.443,8395.059
930,71-05,3467.5,0.294,4,159.256,6.527,2.74,12.894,3.12,262.752
931,48-46,3244.2,0.298,4,165.872,6.14,2.739,9.901,3.188,299.007
932,62-09C2,3396.6,0.302,4,157.1,12.403,2.802,21.294,3.607,131.742
933,79-06,3468.1,0.306,4,156.799,3.374,2.824,11.611,3.568,1493.053
934,53-09,3670.3,0.31,4,158.281,5.18,2.825,18.513,3.771,1871.581
935,Z44,3453.3,0.315,4,154.753,12.851,2.786,21.809,3.097,671.158
936,41-43,3338.5,0.318,4,165.081,6.37,2.812,19.872,3.966,320.831
937,49-25,3359.5,0.32299999999999995,4,162.201,11.827,2.788,22.257,3.842,221.972
938,60-09,3476.2,0.32799999999999996,4,161.958,12.92,2.774,20.279,3.201,157.572
939,61-05,3424.4,0.332,4,162.763,8.914,2.741,16.21,3.396,58.564
940,46-27,3283.5,0.336,4,175.262,11.05,2.776,19.92,3.032,93.107
941,68-2,3543.7,0.341,4,170.505,10.112,2.75,20.583,3.225,63.328
942,46-27C1,3434.1,0.345,4,149.929,1.793,2.8,14.731,3.635,2569.289
943,63-03,3512.7,0.35,4,154.882,2.731,2.813,19.382,3.115,2751.635
944,77-05,3461.4,0.354,4,154.443,5.386,2.815,17.705,3.201,13869.883
945,55-010,3518.8,0.358,4,145.112,3.872,2.819,17.718,3.123,4070.243
946,66-1,3475.3,0.36200000000000004,4,146.748,2.893,2.815,21.335,3.502,5411.517
947,72-04,3473.1,0.368,4,156.632,3.485,2.808,13.457,3.868,2695.581
948,46-27C1,3390.4,0.373,4,156.012,5.882,2.84,14.619,3.695,303.73
949,63-03,3485.0,0.37799999999999995,4,156.593,4.681,2.841,22.425,3.572,542.588
950,53-09,3605.8,0.38299999999999995,4,157.637,4.139,2.835,12.919,3.234,2405.764
951,49-43,3423.0,0.389,4,145.009,4.532,2.813,16.64,3.232,14325.577
952,Z22,3394.7,0.39399999999999996,4,160.431,13.223,2.815,20.499,3.195,353.964
953,68-02,3572.7,0.39899999999999997,4,155.087,2.178,2.78,20.558,2.912,1015.74
954,48-5,3381.9,0.406,4,150.495,3.37,2.819,19.216,3.742,4682.348
955,55-010,3464.0,0.41100000000000003,4,153.707,1.589,2.819,6.902,3.45,1633.968
956,48-5,3346.6,0.41600000000000004,4,159.397,13.615,2.756,13.673,3.478,242.236
957,41-44C3,3322.2,0.42200000000000004,4,164.6,7.524,2.729,13.398,3.094,1397.877
958,49-13,3355.5,0.428,4,154.233,1.918,2.804,13.901,3.277,8980.58
959,68-02,3610.6,0.435,4,151.303,2.627,2.758,18.909,3.477,11003.139
960,68-2,3627.9,0.442,4,155.119,4.05,2.802,13.37,3.972,5050.525
961,53-09,3690.1,0.449,4,171.992,12.939,2.801,17.173,3.144,61.516
962,43-23,3395.2,0.457,4,156.92,1.073,2.748,13.338,3.443,1219.521
963,80-012,3477.3,0.46399999999999997,4,152.779,1.896,2.787,12.62,3.618,12771.221
964,65-07,3452.3,0.469,4,156.972,3.249,2.803,12.436,3.872,8588.084
965,63-03,3512.5,0.478,4,154.735,2.687,2.835,15.245,3.282,3355.481
966,68-2,3624.2,0.485,4,154.319,7.791,2.855,20.021,3.528,675.574
