AC	CNL	DEN	GR	PE	RLLD	code	ÑµÁ·²âÊÔ·ÖÇø
159.06000	0.96000	2.69000	16.47000	4.85000	4.56799	0	1
158.60000	1.69000	2.70000	19.34000	5.00000	4.58615	0	2
154.36000	0.79000	2.74000	17.83000	4.84000	4.53224	0	0
156.06000	2.10000	2.72000	7.81000	4.83000	3.45991	0	1
157.07000	0.84000	2.74000	13.28000	5.36000	3.56051	0	2
153.62000	1.25000	2.72000	14.34000	4.74000	4.52162	0	0
155.59000	0.94000	2.74000	12.07000	4.92000	4.57315	0	1
167.12000	-0.66000	2.74000	14.25000	4.82000	4.19019	0	2
156.97000	1.75000	2.72000	21.09000	4.87000	4.57734	0	0
156.69000	1.38000	2.70000	15.19000	5.08000	4.60065	0	1
155.85000	2.04000	2.73000	14.74000	5.45000	3.62325	0	2
157.08000	0.13000	2.68000	14.38000	4.80000	4.51536	0	0
157.82000	0.56000	2.73000	10.04000	5.19000	3.45971	0	1
158.45000	0.97000	2.73000	18.24000	4.80000	4.57796	0	2
157.62000	0.59000	2.73000	10.20000	4.80000	4.56333	0	0
155.60000	0.64000	2.72000	9.13000	5.11000	4.56267	0	1
158.12000	0.89000	2.72000	15.72000	5.02000	4.61555	0	2
157.94000	3.17000	2.68000	13.50000	4.76000	4.46418	0	0
159.60000	0.60000	2.70000	15.14000	4.97000	4.60446	0	1
156.03000	1.87000	2.73000	16.29000	5.08000	4.60162	0	2
159.58000	1.07000	2.71000	17.24000	4.96000	4.62036	0	0
158.37000	1.10000	2.69000	11.24000	5.19000	4.57533	0	1
159.70000	1.70000	2.66000	13.58000	5.01000	3.44105	0	2
160.27000	3.85000	2.70000	18.95000	4.89000	3.57545	0	0
155.03000	4.23000	2.68000	13.97000	4.70000	4.16637	0	1
160.13000	4.24000	2.72000	18.96000	4.87000	4.33316	0	2
156.07000	-0.07000	2.67000	13.32000	4.64000	4.40035	0	0
154.19000	0.59000	2.76000	12.76000	5.54000	3.97455	0	1
157.18000	0.54000	2.71000	14.60000	4.79000	4.58822	0	2
155.69000	1.28000	2.73000	13.67000	4.89000	4.61478	0	0
157.02000	1.08000	2.70000	9.84000	5.10000	4.60919	0	1
154.98000	1.01000	2.74000	12.82000	5.44000	4.40139	0	2
157.36000	0.89000	2.74000	12.58000	4.93000	4.61676	0	0
154.29000	0.48000	2.72000	17.52000	4.80000	4.56472	0	1
158.67000	1.01000	2.72000	14.75000	4.80000	4.61729	0	2
161.04000	-0.47000	2.71000	15.90000	4.84000	4.51388	0	0
158.05000	0.74000	2.74000	15.04000	4.90000	4.61770	0	1
156.04000	0.89000	2.69000	17.98000	5.01000	4.61605	0	2
157.52000	1.96000	2.72000	19.40000	4.93000	4.62913	0	0
153.94000	0.30000	2.76000	9.55000	5.10000	4.50285	0	1
160.26000	0.97000	2.72000	10.56000	4.94000	4.62860	0	2
153.51000	1.35000	2.72000	15.63000	4.87000	4.60741	0	0
156.80000	0.65000	2.73000	15.54000	5.07000	4.61823	0	1
155.64000	0.18000	2.66000	12.92000	4.69000	4.45366	0	2
158.21000	1.37000	2.74000	11.72000	4.94000	3.36293	0	0
158.66000	1.53000	2.73000	13.63000	4.76000	4.61777	0	1
157.82000	0.77000	2.71000	11.66000	4.80000	4.61735	0	2
159.42000	1.17000	2.67000	12.50000	4.92000	4.61140	0	0
153.63000	0.71000	2.66000	13.19000	4.96000	3.44751	0	1
156.32000	0.98000	2.71000	12.79000	4.79000	4.62177	0	2
156.20000	1.65000	2.72000	23.14000	5.06000	4.61468	0	0
168.04000	0.99000	2.76000	18.12000	4.97000	3.56980	0	1
155.04000	1.52000	2.72000	11.36000	4.83000	4.62574	0	2
152.94000	1.50000	2.74000	14.24000	4.95000	4.61067	0	0
155.20000	0.36000	2.70000	13.93000	5.15000	4.59036	0	1
155.10000	0.47000	2.70000	11.25000	5.00000	4.61705	0	2
155.57000	0.36000	2.72000	13.01000	4.94000	4.62269	0	0
156.68000	2.41000	2.76000	16.46000	4.84000	3.41103	0	1
154.72000	0.28000	2.65000	13.54000	4.61000	4.41103	0	2
161.70000	2.59000	2.72000	13.87000	4.75000	3.42087	0	0
160.52000	1.63000	2.71000	17.83000	5.00000	3.33949	0	1
152.10000	1.57000	2.77000	14.81000	5.50000	3.78610	0	2
155.87000	2.19000	2.73000	19.39000	4.90000	4.62923	0	0
158.05000	0.31000	2.70000	11.67000	4.70000	4.58016	0	1
157.23000	1.45000	2.73000	8.81000	5.19000	4.61930	0	2
156.58000	0.84000	2.68000	11.44000	4.87000	3.36927	0	0
156.64000	0.41000	2.70000	12.03000	5.12000	4.62391	0	1
159.75000	0.10000	2.70000	9.00000	5.09000	4.60206	0	2
157.61000	1.79000	2.71000	15.34000	5.01000	4.67651	0	0
160.41000	1.16000	2.72000	14.79000	4.96000	3.32439	0	1
